epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,44566.8,0.48853,0.30349,0.8446,0.98438,0.99047,0.99089,0.85138,0.50791,0.27163,0.77826,0.0002674,0.0002674,0.0002674
76,45134.2,0.4908,0.30151,0.84131,0.97654,0.98982,0.98699,0.84436,0.52406,0.27695,0.77801,0.0002575,0.0002575,0.0002575
77,45706.8,0.49321,0.30847,0.84482,0.97939,0.99148,0.9887,0.85051,0.50495,0.26799,0.77938,0.0002476,0.0002476,0.0002476
78,46280.4,0.48598,0.2998,0.84357,0.98595,0.99007,0.98878,0.84944,0.50886,0.27321,0.7774,0.0002377,0.0002377,0.0002377
79,46850.5,0.48369,0.30148,0.84137,0.98131,0.99573,0.9929,0.85608,0.49817,0.26178,0.7782,0.0002278,0.0002278,0.0002278
80,47419.7,0.4799,0.29267,0.84009,0.98664,0.99387,0.99315,0.85327,0.498,0.2628,0.77755,0.0002179,0.0002179,0.0002179
81,47990.7,0.48255,0.29509,0.8424,0.98143,0.99275,0.9901,0.85185,0.50271,0.26184,0.77904,0.000208,0.000208,0.000208
82,48566.5,0.48394,0.29417,0.84234,0.98469,0.9952,0.99262,0.85673,0.50045,0.26254,0.77929,0.0001981,0.0001981,0.0001981
83,49140,0.48758,0.29521,0.84208,0.98703,0.9947,0.99246,0.85616,0.49891,0.26038,0.776,0.0001882,0.0001882,0.0001882
84,49717,0.47955,0.29267,0.83812,0.98578,0.99371,0.99244,0.8579,0.50243,0.26454,0.77462,0.0001783,0.0001783,0.0001783
85,50290.9,0.47795,0.28858,0.84028,0.9877,0.99263,0.99165,0.85317,0.51269,0.26638,0.77683,0.0001684,0.0001684,0.0001684
86,50868.6,0.48029,0.29229,0.83996,0.98245,0.99299,0.98884,0.85272,0.50222,0.2658,0.77835,0.0001585,0.0001585,0.0001585
